date,side,position,player,team,result,firstbloodkill,firstbloodvictim,firstdragon,infernals,mountains,clouds,oceans,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,dpm,damageshare,wpm,wcpm,earned_gpm,cspm,xpat10,csat10,golddiffat10,xpdiffat10,csdiffat10,xpat15,csat15,golddiffat15,xpdiffat15,csdiffat15,damagetakenperminute,damagemitigatedperminute,kd,apm,mkoj_pm,mkej_pm,dragonsdiff,elementaldrakesdiff,eldersdiff,heraldsdiff,baronsdiff,towersdiff,inhibitorsdiff
4/9/2018 18:15,0,top,Kubon,Team Ascent,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.262422,0.5566,0.1172,210.3516,8.5254,4795.0,89.0,228.0,159.0,11.0,7338.0,139.0,-135.0,-441.0,-4.0,0.0,0.0,0.0,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 18:15,0,jng,Bolszak,Team Ascent,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.3516,0.123673,0.6445,0.2637,157.1484,4.6875,3446.0,55.0,-113.0,339.0,3.0,4644.0,74.0,-251.0,290.0,-2.0,0.0,0.0,0.0,0.23,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 18:15,0,mid,bucu,Team Ascent,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.8047,0.195429,0.5859,0.293,272.5488,9.5801,4903.0,93.0,71.0,148.0,3.0,8083.0,155.0,-9.0,102.0,-2.0,0.0,0.0,2.0,0.09,0.82,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 18:15,0,bot,Celaver,Team Ascent,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.6973,0.344594,0.3516,0.3809,284.1504,9.6973,2754.0,74.0,-531.0,-319.0,-3.0,5157.0,142.0,-417.0,-329.0,2.0,0.0,0.0,1.6667,0.06,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 18:15,0,sup,Dzondzy,Team Ascent,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.584,0.0738815,1.3477,0.4395,118.3887,2.0801,2765.0,17.0,-204.0,113.0,13.0,4367.0,34.0,-91.0,-56.0,27.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 18:15,1,top,Truklax,K1ck Neosurf,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.6406,0.22086799999999998,0.3809,0.0879,261.0352,8.6426,4636.0,78.0,-228.0,-159.0,-11.0,7779.0,143.0,135.0,441.0,4.0,0.0,0.0,1.0,0.18,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 18:15,1,jng,LeChase,K1ck Neosurf,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.7266,0.138922,0.4395,0.4102,187.9395,4.248,3107.0,52.0,113.0,-339.0,-3.0,4354.0,76.0,251.0,-290.0,2.0,0.0,0.0,1.5,0.15,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 18:15,1,mid,Aziado,K1ck Neosurf,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.8848,0.169791,0.6738,0.3223,286.2305,9.6973,4755.0,90.0,-71.0,-148.0,-3.0,7981.0,157.0,9.0,-102.0,2.0,0.0,0.0,1.0,0.15,0.56,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 18:15,1,bot,Alternative,K1ck Neosurf,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.6875,0.38785,0.5273,0.1172,361.0254,11.3086,3073.0,77.0,531.0,319.0,3.0,5486.0,140.0,417.0,329.0,-2.0,0.0,0.0,2.0,0.15,0.5,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4/9/2018 18:15,1,sup,Rhuckz,K1ck Neosurf,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.7637,0.08256820000000001,1.6113,0.3516,148.7695,0.5566,2652.0,4.0,204.0,-113.0,-13.0,4423.0,7.0,91.0,56.0,-27.0,0.0,0.0,0.5,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
